symbol,side,amount,open_time,open_price,close_time,close_price,value,notional,profit,profit_percent
ETH-PERP,sell,0.02091806808699326,2022-01-24 09:15:00,2454.7,2022-01-24 15:00:00,2387.0,51.347581733142356,51.347581733142356,1.345257902309686,2.6217402982592954
LUNA-PERP,sell,0.9125296048894526,2022-01-28 00:15:00,58.299,2022-01-28 01:30:00,56.96,53.199563435450195,53.199563435450195,1.148253066136013,2.1599000670647395
ETH-PERP,sell,0.021813827880699604,2022-01-28 01:15:00,2438.8,2022-01-28 03:15:00,2386.5,53.1995634354502,53.1995634354502,1.0671824135896808,2.007403624393744
SOL-PERP,sell,0.5898609982863976,2022-01-28 00:30:00,90.19,2022-01-28 04:15:00,85.9325,53.199563435450195,53.199563435450195,2.4386117446348416,4.587105252421551
SOL-PERP,sell,0.6195953585809741,2022-01-28 15:00:00,89.6175,2022-01-28 20:15:00,87.3975,55.52658704763046,55.52658704763046,1.2987273253703266,2.3405671776754944
ETH-PERP,sell,0.011614982857304616,2022-01-28 15:00:00,2390.3,2022-01-28 20:45:00,2432.2835639109835,27.763293523815225,55.52658704763045,-0.5268483329105447,-1.8989727736295265
ETH-PERP,sell,0.011614982857304616,2022-01-28 15:00:00,2390.3,2022-01-28 23:00:00,2444.0,27.763293523815225,27.763293523815225,-0.6630297975762004,-2.389825410942476
ETH-PERP,buy,0.021387183178802616,2022-01-30 03:30:00,2598.8,2022-01-30 03:45:00,2628.6,55.581011645072245,55.581011645072245,0.5590785057840989,1.0051767825935582
LUNA-PERP,sell,1.0804177677682965,2022-01-29 22:00:00,51.444,2022-01-30 09:30:00,49.567,55.581011645072245,55.581011645072245,1.9515502947030725,3.5136412221313056
ETH-PERP,buy,0.01083752689446187,2022-01-31 06:15:00,2622.2,2022-01-31 07:45:00,2562.421484423901,28.41816302265791,56.83632604531582,-0.6871832026095097,-2.416421182130607
ETH-PERP,buy,0.01083752689446187,2022-01-31 06:15:00,2622.2,2022-01-31 08:00:00,2540.5,28.41816302265791,28.41816302265791,-0.9245915773461555,-3.2512475040638913
ETH-PERP,buy,0.00999972134768311,2022-02-02 19:45:00,2801.6,2022-02-02 21:30:00,2761.2922387120307,28.015219327668998,56.030438655337996,-0.4420055416206363,-1.5766300060213263
