symbol,side,amount,open_time,open_price,close_time,close_price,notional,profit,profit_percent
LUNA-PERP,sell,9.546528790845413,2021-02-27 04:00:00,5.823,2021-02-27 14:00:00,6.059562524133096,55.589437149092845,-2.337757005143607,-4.208343709392512
SOL-PERP,sell,4.060938418455909,2021-02-28 06:30:00,13.0975,2021-02-28 09:30:00,12.442625,53.188140935726274,2.5868052344090504,4.866906834784355
ETH-PERP,sell,0.036343109624684844,2021-02-28 06:00:00,1463.5,2021-02-28 11:00:00,1390.325,53.18814093572627,2.586805234409045,4.866906834784346
SOL-PERP,buy,3.690039442284837,2021-03-02 21:30:00,15.115,2021-03-03 00:00:00,14.523379550188317,55.77494617013531,-2.259659547349331,-4.048554139768819
ETH-PERP,sell,0.03644708623788478,2021-03-03 00:00:00,1499.3,2021-03-03 11:30:00,1528.7090537747893,54.645116396460644,-1.1491277940827553,-2.1043650793287365
LUNA-PERP,buy,8.15964109249823,2021-03-03 08:00:00,6.697,2021-03-03 12:30:00,6.88,54.64511639646065,1.4156659069481852,2.588841834905508
SOL-PERP,buy,3.7276887004350705,2021-03-04 02:00:00,14.695,2021-03-04 07:30:00,14.037510275065019,54.77838545289336,-2.525891116013541,-4.60788358069411
LUNA-PERP,buy,6.891878930442576,2021-03-04 21:30:00,7.765,2021-03-05 00:00:00,8.15325,53.5154398948866,2.598977338495171,4.8531028280203925
SOL-PERP,sell,4.392221840074853,2021-03-05 23:30:00,12.48,2021-03-06 18:00:00,12.1775,54.81492856413417,1.2528362596074936,2.287175943031922
ETH-PERP,buy,0.03504731442817999,2021-03-06 23:30:00,1581.9,2021-03-07 04:30:00,1660.9950000000001,55.44134669393792,2.6925090021911013,4.853102828020397
ETH-PERP,buy,0.03252812532651706,2021-03-08 22:30:00,1745.8,2021-03-09 03:00:00,1776.5,56.78760119503348,0.9184117764377625,1.6161438739932157
SOL-PERP,buy,4.005373943204643,2021-03-11 20:30:00,14.2925,2021-03-12 00:30:00,15.007125,57.246807083252364,2.7801911859981527,4.853102828020389
LUNA-PERP,buy,5.1771943030418,2021-03-12 09:00:00,11.326,2021-03-12 11:00:00,11.8923,58.636902676251424,2.8477011784721546,4.853102828020393
SOL-PERP,sell,4.306974059913052,2021-03-16 08:00:00,13.945,2021-03-16 13:00:00,13.24775,60.060753265487506,2.9210547350669955,4.866906834784366
SOL-PERP,sell,4.547867723749474,2021-03-17 10:30:00,13.5275,2021-03-17 12:30:00,13.415,61.52128063302101,0.42586347061883967,0.6927062952568129
SOL-PERP,buy,4.272263831718369,2021-03-19 22:30:00,14.45,2021-03-19 23:00:00,14.3975,61.73421236833043,-0.31056474278505536,-0.5027155731472303
ETH-PERP,sell,0.03469821941564089,2021-03-22 07:30:00,1774.7,2021-03-22 13:30:00,1797.0716464071354,61.578929996937894,-0.8630101771266385,-1.4024516299077923
ETH-PERP,sell,0.03500339167002952,2021-03-23 02:30:00,1746.9,2021-03-23 03:00:00,1737.9,61.147424908374575,0.2296446515260597,0.37582206565718684
LUNA-PERP,buy,3.2702849108064704,2021-03-27 23:30:00,18.733,2021-03-28 07:30:00,18.600667312051236,61.26224723413761,-0.5182298028182736,-0.8453285981038919
SOL-PERP,buy,3.272261356187661,2021-03-29 21:30:00,18.6425,2021-03-30 07:30:00,19.574624999999997,61.00313233272846,2.9626171217389587,4.853102828020388
LUNA-PERP,sell,3.417251347749409,2021-04-03 23:00:00,18.285,2021-04-04 01:30:00,17.37075,62.48444089359795,3.0389307828601413,4.866906834784357
SOL-PERP,buy,2.741653728208526,2021-04-04 05:00:00,23.345,2021-04-04 14:00:00,24.512249999999998,64.00390628502804,3.1083497087323866,4.853102828020386
LUNA-PERP,sell,3.6332343792614843,2021-04-05 02:30:00,18.044,2021-04-05 04:00:00,18.055,65.55808113939422,-0.1317748676717383,-0.20114556802484623
ETH-PERP,buy,0.03143524705076239,2021-04-05 21:00:00,2083.4,2021-04-05 23:00:00,2119.4,65.49219370555836,1.0391876544139815,1.58562520683059
SOL-PERP,buy,2.6568841259861404,2021-04-05 22:00:00,24.65,2021-04-06 05:00:00,23.385025598302267,65.49219370555836,-3.4502268555519406,-5.264464650065609
LUNA-PERP,sell,3.704573069912192,2021-04-06 04:30:00,17.819,2021-04-06 06:30:00,17.493,66.01178753276534,1.116119701820068,1.691972865207918
SOL-PERP,buy,2.7242824894821727,2021-04-07 00:30:00,23.8025,2021-04-07 04:30:00,24.992625,64.84473395589941,3.14918450456827,4.853102828020409
SOL-PERP,buy,2.514930943134553,2021-04-07 21:00:00,26.41,2021-04-08 15:30:00,27.730500000000003,66.41932620818353,3.225654577300443,4.8531028280204005
LUNA-PERP,sell,4.436686676459748,2021-04-08 17:30:00,15.334,2021-04-09 00:00:00,15.805619555341389,68.03215349683377,-2.1891379121748527,-3.2200529742812076
SOL-PERP,buy,2.4254945027899746,2021-04-09 10:00:00,27.5975,2021-04-09 11:00:00,27.7025,66.93758454074633,0.1607860305899527,0.24003489250613505
LUNA-PERP,sell,4.455982550268704,2021-04-12 07:30:00,15.04,2021-04-12 17:00:00,14.287999999999998,67.0179775560413,3.2594193384380734,4.8669068347843565
